Nom,age,nationnalité,Position,res Position,valeur marchande,venant de 1,venant de 2,montant de la transaction,team_acheteur,team vendeur
Benjamin TettehB. Tetteh,26,Ghana,Avant-centre,AC,"1,50 mio. €",Hull City,Angleterre,"1,80 mio. €",FC Metz,
Joel AsoroJ. Asoro,24,Suède,Ailier droit,AiD,"1,50 mio. €",Djurgårdens IF,Suède,"1,20 mio. €",FC Metz,
Simon ElisorS. Elisor,23,France,Avant-centre,AC,800 K €,RFC Seraing,Belgique,400 K €,FC Metz,
Maxime ColinM. Colin,31,France,Arrière droit,ArD,"1,20 mio. €",Birmingham City,Angleterre,Tr. libre,FC Metz,
Jean N'GuessanJ. N'Guessan,20,Côte d'Ivoire,Milieu central,MC,"1,20 mio. €",OGC Nice,France,?,FC Metz,
Christophe HérelleC. Hérelle,31,Martinique,Défenseur central,DC,"2,00 mio. €",Stade Brestois 29,France,?,FC Metz,
Sadibou SanéS. Sané,19,Sénégal,Défenseur central,DC,150 K €,Génération Foot,Sénégal,?,FC Metz,
Ibou SanéI. Sané,18,Sénégal,Avant-centre,AC,150 K €,Génération Foot,Sénégal,?,FC Metz,
Óscar EstupiñánÓ. Estupiñán,26,Colombie,Avant-centre,AC,"5,00 mio. €",Hull City,Angleterre,Prêt,FC Metz,
Joseph NduquidiJ. Nduquidi,18,France,Milieu central,MC,500 K €,FC Metz B,France,-,FC Metz,
Malick MbayeM. Mbaye,19,Sénégal,Ailier droit,AiD,400 K €,FC Metz B,France,-,FC Metz,
Papa Amadou DialloP. Diallo,19,Sénégal,Ailier gauche,AiG,150 K €,FC Metz B,France,-,FC Metz,
Lamine CamaraL. Camara,19,Sénégal,Milieu central,MC,800 K €,FC Metz B,France,-,FC Metz,
Othmane ChraibiO. Chraibi,20,Maroc,Milieu défensif,MDC,-,FC Metz B,France,-,FC Metz,
Maïdine DouaneM. Douane,21,Algérie,Milieu offensif,MO,250 K €,RFC Seraing,Belgique,Fin du prêt30 juin 2024,FC Metz,
